Date,Open,High,Low,Close,Adj Close,Volume
1962-01-02,7.713333,7.713333,7.626667,7.626667,0.662902,387200
1962-01-03,7.626667,7.693333,7.626667,7.693333,0.668697,288000
1962-01-04,7.693333,7.693333,7.613333,7.616667,0.662033,256000
1962-01-05,7.606667,7.606667,7.453333,7.466667,0.648996,363200
1962-01-08,7.460000,7.460000,7.266667,7.326667,0.636827,544000
1962-01-09,7.360000,7.506667,7.360000,7.413333,0.644360,491200
1962-01-10,7.426667,7.460000,7.426667,7.426667,0.645519,299200
1962-01-11,7.446667,7.506667,7.446667,7.506667,0.652472,315200
1962-01-12,7.520000,7.573333,7.520000,7.520000,0.653631,435200
1962-01-15,7.546667,7.570000,7.546667,7.553333,0.656528,251200
1962-01-16,7.546667,7.546667,7.473333,7.473333,0.649575,251200
1962-01-17,7.440000,7.440000,7.333333,7.353333,0.639144,419200
1962-01-18,7.373333,7.446667,7.373333,7.373333,0.640883,371200
1962-01-19,7.373333,7.393333,7.293334,7.380000,0.641463,400000
1962-01-22,7.380000,7.453333,7.360000,7.366667,0.640303,275200
1962-01-23,7.363333,7.373333,7.280000,7.293334,0.633929,371200
1962-01-24,7.293334,7.333333,7.256667,7.333333,0.637406,408000
1962-01-25,7.333333,7.393333,7.240000,7.253334,0.630453,315200
1962-01-26,7.253334,7.280000,7.213333,7.216667,0.627266,243200
1962-01-29,7.216667,7.266667,7.093333,7.093333,0.616546,579200
1962-01-30,7.093333,7.133333,7.003334,7.003334,0.608723,736000
1962-01-31,7.073333,7.226666,7.073333,7.226666,0.628135,760000
1962-02-01,7.300000,7.413333,7.300000,7.393333,0.642621,640000
1962-02-02,7.393333,7.440000,7.360000,7.440000,0.646677,507200
1962-02-05,7.440000,7.440000,7.306667,7.346667,0.638565,312000
1962-02-06,7.346667,7.360000,7.320000,7.353333,0.639232,256000
1962-02-07,7.360000,7.400000,7.360000,7.360000,0.639811,251200
1962-02-08,7.360000,7.400000,7.360000,7.366667,0.640390,16000
1962-02-09,7.366667,7.420000,7.333333,7.420000,0.645027,432000
1962-02-12,7.420000,7.480000,7.413333,7.426667,0.645606,280000
1962-02-13,7.426667,7.433333,7.306667,7.306667,0.635175,256000
1962-02-14,7.306667,7.333333,7.280000,7.293334,0.634016,208000
1962-02-15,7.293334,7.293334,7.260000,7.266667,0.631698,227200
1962-02-16,7.266667,7.293334,7.260000,7.260000,0.631118,219200
1962-02-19,7.260000,7.293334,7.173333,7.186666,0.624743,280000
1962-02-20,7.190000,7.226666,7.190000,7.190000,0.625032,288000
1962-02-21,7.190000,7.240000,7.136667,7.136667,0.620396,363200
1962-02-23,7.146667,7.173333,7.146667,7.160000,0.622425,288000
1962-02-26,7.160000,7.166667,7.120000,7.133333,0.620107,299200
1962-02-27,7.133333,7.193333,7.093333,7.146667,0.621266,347200
1962-02-28,7.146667,7.160000,7.106667,7.160000,0.622425,267200
1962-03-01,7.186666,7.246666,7.186666,7.246666,0.629959,280000
1962-03-02,7.306667,7.346667,7.306667,7.306667,0.635175,243200
1962-03-05,7.306667,7.306667,7.253334,7.280000,0.632857,360000
1962-03-06,7.280000,7.313334,7.266667,7.286667,0.633436,184000
1962-03-07,7.286667,7.310000,7.266667,7.310000,0.635464,123200
1962-03-08,7.310000,7.326667,7.266667,7.326667,0.636913,184000
1962-03-09,7.333333,7.373333,7.333333,7.373333,0.640970,288000
1962-03-12,7.373333,7.393333,7.346667,7.366667,0.640390,280000
1962-03-13,7.366667,7.366667,7.333333,7.360000,0.639811,123200
1962-03-14,7.360000,7.380000,7.333333,7.346667,0.638652,195200
1962-03-15,7.346667,7.386667,7.333333,7.333333,0.637493,243200
1962-03-16,7.333333,7.366667,7.333333,7.366667,0.640390,160000
1962-03-19,7.380000,7.413333,7.380000,7.386667,0.642129,371200
1962-03-20,7.373333,7.373333,7.340000,7.340000,0.638073,160000
1962-03-21,7.340000,7.360000,7.320000,7.346667,0.638652,256000
1962-03-22,7.320000,7.320000,7.266667,7.266667,0.631698,240000
1962-03-23,7.273334,7.306667,7.273334,7.293334,0.634016,184000
1962-03-26,7.293334,7.320000,7.280000,7.290000,0.633726,131200
1962-03-27,7.273334,7.273334,7.146667,7.153333,0.621845,347200
1962-03-28,7.160000,7.213333,7.160000,7.193333,0.625323,328000
1962-03-29,7.193333,7.226666,7.173333,7.173333,0.623584,227200
1962-03-30,7.160000,7.160000,7.070000,7.103333,0.617499,435200
1962-04-02,7.100000,7.100000,7.006667,7.006667,0.609095,371200
1962-04-03,7.000000,7.000000,6.760000,6.833333,0.594027,912000
1962-04-04,6.833333,6.893333,6.803333,6.803333,0.591420,648000
1962-04-05,6.840000,6.946667,6.840000,6.946667,0.603879,912000
1962-04-06,6.946667,7.000000,6.893333,6.940000,0.603300,432000
1962-04-09,6.940000,6.980000,6.893333,6.946667,0.603879,16000
1962-04-10,6.946667,6.973333,6.906667,6.973333,0.606198,256000
1962-04-11,6.973333,7.026667,6.880000,6.880000,0.598084,528000
1962-04-12,6.880000,6.893333,6.806667,6.806667,0.591709,400000
1962-04-13,6.806667,6.906667,6.800000,6.906667,0.600402,627200
1962-04-16,6.906667,6.953333,6.826667,6.900000,0.599823,507200
1962-04-17,6.900000,6.933333,6.866667,6.933333,0.602720,299200
1962-04-18,6.933333,6.993333,6.913333,6.920000,0.601561,424000
1962-04-19,6.920000,6.946667,6.893333,6.920000,0.601561,387200
1962-04-23,6.920000,6.926667,6.886667,6.913333,0.600982,312000
1962-04-24,6.913333,6.956666,6.900000,6.906667,0.600402,456000
1962-04-25,6.906667,6.933333,6.833333,6.833333,0.594027,459200
1962-04-26,6.826667,6.826667,6.660000,6.660000,0.578960,928000
1962-04-27,6.660000,6.733333,6.400000,6.473333,0.562733,1632000
1962-04-30,6.473333,6.533333,6.000000,6.053333,0.526222,2344000
1962-05-01,6.053333,6.193333,5.733333,6.160000,0.535494,5315200
1962-05-02,6.266667,6.453333,6.266667,6.300000,0.547664,2555200
1962-05-03,6.300000,6.453333,6.253334,6.430000,0.558965,1360000
1962-05-04,6.430000,6.480000,6.366667,6.480000,0.563312,779200
1962-05-07,6.480000,6.530000,6.336667,6.336667,0.550851,827200
1962-05-08,6.328333,6.328333,6.126667,6.126667,0.532680,1032000
1962-05-09,6.126667,6.183333,6.000000,6.013333,0.522827,1600000
1962-05-10,6.013333,6.130000,5.986667,6.040000,0.525145,1907200
1962-05-11,6.040000,6.133333,5.920000,5.946667,0.517030,1896000
1962-05-14,5.946667,6.060000,5.843333,6.060000,0.526884,2728000
1962-05-15,6.060000,6.173333,6.026667,6.026667,0.523986,1683200
1962-05-16,6.026667,6.126667,6.026667,6.093333,0.529782,880000
1962-05-17,6.093333,6.093333,5.960000,5.986667,0.520508,971200
1962-05-18,5.986667,6.020000,5.940000,6.020000,0.523406,731200
1962-05-21,6.020000,6.020000,5.946667,6.000000,0.521667,395200
1962-05-22,5.993333,5.993333,5.800000,5.800000,0.504278,1000000
1962-05-23,5.800000,5.840000,5.536667,5.536667,0.481383,2891200
1962-05-24,5.536667,5.680000,5.306667,5.306667,0.461386,4152000
1962-05-25,5.306667,5.426667,5.173333,5.313334,0.461966,4299200
1962-05-28,5.293334,5.293334,4.733333,4.813334,0.418493,4320000
1962-05-29,4.873333,5.160000,4.873333,5.106667,0.443997,3856000
1962-05-31,5.200000,5.333333,5.200000,5.233333,0.455010,4128000
1962-06-01,5.213333,5.213333,5.103333,5.133333,0.446316,2411200
1962-06-04,5.066667,5.066667,4.800000,4.800000,0.417334,1811200
1962-06-05,4.800000,4.986667,4.706666,4.855000,0.422115,3160000
1962-06-06,4.855000,5.013333,4.826667,4.873333,0.423710,2880000
1962-06-07,4.906667,4.986667,4.906667,4.933333,0.428927,1227200
1962-06-08,4.936666,5.013333,4.936666,4.950000,0.430375,1168000
1962-06-11,4.950000,4.960000,4.780000,4.786667,0.416175,1187200
1962-06-12,4.733333,4.733333,4.468333,4.468333,0.388497,3328000
1962-06-13,4.468333,4.573333,4.296667,4.301667,0.374006,4384000
1962-06-14,4.301667,4.423333,4.000000,4.080000,0.354734,6675200
1962-06-15,4.080000,4.460000,4.006667,4.446667,0.386614,6328000
1962-06-18,4.446667,4.530000,4.233333,4.396667,0.382266,4768000
1962-06-19,4.396667,4.480000,4.346667,4.480000,0.389511,2104000
1962-06-20,4.480000,4.570000,4.373333,4.373333,0.380237,3059200
1962-06-21,4.320000,4.320000,4.203333,4.210000,0.366037,3707200
1962-06-22,4.210000,4.286667,4.140000,4.266667,0.370964,3371200
1962-06-25,4.266667,4.480000,4.206666,4.433333,0.385454,3792000
1962-06-26,4.433333,4.520000,4.266667,4.266667,0.370964,3227200
1962-06-27,4.273334,4.440000,4.273334,4.440000,0.386034,2955200
1962-06-28,4.470000,4.646667,4.470000,4.586667,0.398785,4083200
1962-06-29,4.586667,4.633333,4.510000,4.523334,0.393279,2824000
1962-07-02,4.523334,4.666667,4.513333,4.666667,0.405741,1392000
1962-07-03,4.666667,4.716667,4.640000,4.686666,0.407480,2584000
1962-07-05,4.686666,4.706666,4.650000,4.666667,0.405741,2016000
1962-07-06,4.613333,4.613333,4.560000,4.600000,0.399945,1624000
1962-07-09,4.600000,4.673333,4.546667,4.670000,0.406031,1888000
1962-07-10,4.750000,4.823333,4.750000,4.783333,0.415885,3048000
1962-07-11,4.783333,4.993333,4.763333,4.991667,0.433998,3312000
1962-07-12,5.003334,5.196667,5.003334,5.053333,0.439360,3299200
1962-07-13,5.053333,5.086667,4.966667,5.016667,0.436172,2104000
1962-07-16,5.016667,5.100000,4.966667,5.100000,0.443417,1656000
1962-07-17,5.100000,5.126667,4.933333,4.935000,0.429072,1707200
1962-07-18,4.935000,4.960000,4.826667,4.870000,0.423420,2435200
1962-07-19,4.896667,5.013333,4.896667,4.900000,0.426028,2195200
1962-07-20,4.913333,4.986667,4.913333,4.960000,0.431245,675200
1962-07-23,4.960000,5.026667,4.953333,4.973333,0.432404,840000
1962-07-24,4.946667,4.946667,4.843333,4.843333,0.421102,888000
1962-07-25,4.843333,4.913333,4.783333,4.900000,0.426028,1875200
1962-07-26,4.923333,4.973333,4.923333,4.926667,0.428347,947200
1962-07-27,4.926667,5.011667,4.923333,5.011667,0.435737,947200
1962-07-30,5.043334,5.165000,5.043334,5.165000,0.449069,2848000
1962-07-31,5.165000,5.246666,5.160000,5.160000,0.448634,2771200
1962-08-01,5.146667,5.146667,5.016667,5.016667,0.436172,1216000
1962-08-02,5.020000,5.143333,5.020000,5.143333,0.447185,1488000
1962-08-03,5.143333,5.166667,5.093333,5.133333,0.446316,947200
1962-08-06,5.133333,5.153333,5.060000,5.066667,0.440519,6603200
1962-08-07,5.061666,5.061666,4.976666,4.976666,0.432779,915200
1962-08-08,4.976666,5.106667,4.940000,5.090000,0.442635,1576000
1962-08-09,5.086667,5.086667,5.001667,5.020000,0.436548,1288000
1962-08-10,5.020000,5.063334,5.001667,5.010000,0.435678,976000
1962-08-13,5.013333,5.063334,5.013333,5.050000,0.439157,1019200
1962-08-14,5.050000,5.146667,5.041667,5.146667,0.447563,1896000
1962-08-15,5.153333,5.256667,5.153333,5.153333,0.448142,2344000
1962-08-16,5.153333,5.236667,5.143333,5.150000,0.447853,1272000
1962-08-17,5.150000,5.220000,5.146667,5.193333,0.451621,888000
1962-08-20,5.220000,5.296667,5.220000,5.250000,0.456549,1803200
1962-08-21,5.250000,5.306667,5.226666,5.236667,0.455389,1296000
1962-08-22,5.246666,5.486667,5.246666,5.453333,0.474232,3304000
1962-08-23,5.453333,5.530000,5.430000,5.473333,0.475971,2920000
1962-08-24,5.473333,5.480000,5.433333,5.453333,0.474232,1248000
1962-08-27,5.453333,5.490000,5.433333,5.440000,0.473072,912000
1962-08-28,5.436666,5.436666,5.246666,5.246666,0.456259,2747200
1962-08-29,5.246666,5.280000,5.176667,5.213333,0.453360,2520000
1962-08-30,5.213333,5.260000,5.160000,5.170000,0.449592,947200
1962-08-31,5.180000,5.303333,5.180000,5.283333,0.459448,1227200
1962-09-04,5.283333,5.353333,5.146667,5.166667,0.449302,1624000
1962-09-05,5.166667,5.226666,5.086667,5.106667,0.444085,2248000
1962-09-06,5.106667,5.185000,5.080000,5.173333,0.449882,1811200
1962-09-07,5.173333,5.211667,5.096667,5.096667,0.443215,1320000
1962-09-10,5.096667,5.156667,5.033333,5.123333,0.445534,1803200
